Procedure,Review Flag,Cases (Procedure),Annualized Deviation (Procedure),% Outside ±30 Min (Procedure)
"EXCISION, LESION, BONE",Higher exposure / lower reliability,108,2136,79.6%
"EXCISION, LESION, SKIN",Higher exposure / lower reliability,89,894,62.9%
"EXCISION, LIVER",Higher exposure / lower reliability,47,929,80.9%
"EXCISION, LIVER, LAPAROSCOPIC",Higher exposure / lower reliability,63,1345,81.0%
"EXCISION, LYMPH NODE, CERVICAL",Other review contexts,30,141,30.0%
"EXCISION, MASS, HIP",Other review contexts,35,512,68.6%
"EXCISION, MASS, NECK",Other review contexts,40,457,65.0%
"EXCISION, MASS, UPPER EXTREMITY",Other review contexts,32,168,46.9%
"EXCISION, NEOPLASM, PITUITARY, CRANIOTOMY OR TRANSSPHENOIDAL APPROACH",Higher exposure / lower reliability,45,618,64.4%
"EXCISION, NEOPLASM, PITUITARY, TRANSSPHENOIDAL APPROACH",Other review contexts,58,531,65.5%
"EXCISION, PAROTID GLAND",Higher exposure / lower reliability,139,1437,64.0%
"EXCISION, PITUITARY, TRANSSPHENOIDAL APPROACH",Higher exposure / lower reliability,105,1022,61.0%
"EXCISION, SCAR",Other review contexts,36,412,61.1%
"EXCISION, VARICOCELE",Other review contexts,72,267,27.8%
"EXPLORATION, CHEST",Other review contexts,76,665,53.9%
"EXPLORATION, LOWER EXTREMITY",Higher exposure / lower reliability,50,617,64.0%
"EXPLORATION, NECK",Other review contexts,149,1314,52.3%
"EXPLORATION, PENIS",Other review contexts,38,316,57.9%
"EXPLORATION, SCROTUM",Other review contexts,53,295,32.1%
"EXPLORATION, UPPER EXTREMITY",Higher exposure / lower reliability,110,1476,79.1%
"EXPLORATION, WITH NERVE REPAIR OF HAND OR WRIST",Other review contexts,37,588,86.5%
"EXPLORATION, WOUND",Higher exposure / lower reliability,95,967,69.5%
"EXTERNAL FIXATION, ANKLE",Other review contexts,62,430,41.9%
"EXTERNAL FIXATION, TIBIA",Other review contexts,54,537,53.7%
"EXTRACTION, CATARACT, WITH IOL AND GLAUCOMA IMPLANT INSERTION",Other review contexts,86,295,19.8%
FISTULOGRAM,Other review contexts,58,611,65.5%
"FIXATION, RIB, USING PLATE",Higher exposure / lower reliability,99,1289,65.7%
"FLAP MUSCLE, MYOCUTANEOUS OR FASCIOCUTANEOUS; HEAD/NECK, TRUNK, OR UPPER EXT",Higher exposure / lower reliability,40,862,82.5%
"FREE FLAP, WITH MICROVASCULAR ANASTOMOSIS",Higher exposure / lower reliability,79,1693,84.8%
"FUNDOPLICATION, LAPAROSCOPIC, NISSEN, FOR HIATAL HERNIA",Other review contexts,47,323,55.3%
"FUSION, SPINE, CERVICAL, ANTERIOR APPROACH",Other review contexts,35,478,71.4%
"FUSION, SPINE, CERVICAL, POSTERIOR APPROACH",Higher exposure / lower reliability,190,2249,66.8%
"FUSION, SPINE, LUMBAR AND LUMBOSACRAL, ANTERIOR APPROACH",Higher exposure / lower reliability,54,813,72.2%
"FUSION, SPINE, LUMBAR AND LUMBOSACRAL, USING POSTERIOR TECHNIQUE",Higher exposure / lower reliability,351,4229,69.2%
"FUSION, SPINE, LUMBAR, INTERBODY",Other review contexts,33,389,69.7%
"FUSION, SPINE, THORACIC",Higher exposure / lower reliability,65,929,69.2%
"FUSION, SPINE, THORACIC OR LUMBAR, OR BOTH THORACIC AND LUMBAR, POSTERIOR APPROACH, USING INSTRUMENTATION",Higher exposure / lower reliability,87,1534,83.9%
"FUSION, SPINE, THORACOLUMBAR, POSTERIOR APPROACH, USING INSTRUMENTATION",Other review contexts,37,598,78.4%
"FUSION, SPINE, XLIF, ANTERIOR RETROPERITONEAL APPROACH",Higher exposure / lower reliability,56,787,71.4%
"GASTRECTOMY, PARTIAL, LAPAROSCOPIC",Other review contexts,41,577,85.4%
"GASTRECTOMY, SLEEVE, LAPAROSCOPIC",Other review contexts,216,1162,38.9%
"GASTROSTOMY, LAPAROSCOPIC",Other review contexts,30,189,50.0%
"GASTROSTOMY, PERCUTANEOUS, ENDOSCOPIC",Other review contexts,210,747,15.2%
GI EGD EUS FNA,Other review contexts,197,1026,38.6%
GI ENDOSCOPIC ULTRASOUND GUIDED FINE NEEDLE ASPIRATION,Other review contexts,61,333,37.7%
GI ENDOSCOPIC ULTRASOUND UPPER,Other review contexts,111,364,19.8%
"GLOSSECTOMY, PARTIAL",Higher exposure / lower reliability,84,2259,78.6%
"HEMIARTHROPLASTY, HIP",Other review contexts,127,881,44.1%
"HEMICOLECTOMY, RIGHT, LAPAROSCOPIC",Other review contexts,60,556,60.0%
HEMORRHOIDECTOMY,Other review contexts,48,142,14.6%
"HERNIORRHAPHY, INGUINAL",Other review contexts,260,1747,41.5%
"HERNIORRHAPHY, INGUINAL, LAPAROSCOPIC",Other review contexts,137,923,45.3%
"HERNIORRHAPHY, ROBOT-ASSISTED, LAPAROSCOPIC, USING DA VINCI SI",Other review contexts,36,305,63.9%
"HIPEC - CHEMOTHERAPY, INTRAPERITONEAL, HYPERTHERMIC",Higher exposure / lower reliability,42,834,81.0%
"HYSTERECTOMY, ABDOMINAL, LAPAROSCOPIC",Higher exposure / lower reliability,149,1739,70.5%
"HYSTERECTOMY, TOTAL ABDOMINAL, WITH BILATERAL SALPINGO-OOPHORECTOMY, WITH LYMPHADENECTOMY",Higher exposure / lower reliability,101,1596,80.2%
"HYSTERECTOMY, TOTAL, ABDOMINAL",Higher exposure / lower reliability,146,1865,72.6%
"HYSTERECTOMY, TOTAL, ABDOMINAL, ROBOT-ASSISTED, LAPAROSCOPIC, WITH BSO",Other review contexts,497,4454,55.7%
"HYSTERECTOMY, TOTAL, ABDOMINAL, WITH BILATERAL SALPINGO-OOPHORECTOMY",Other review contexts,35,354,74.3%
