Procedure,Review Flag,Cases (Procedure),Annualized Deviation (Procedure),% Outside ±30 Min (Procedure)
"NEPHRECTOMY, RADICAL, LAPAROSCOPIC",Higher exposure / lower reliability,84,959,72.6%
"NEPHROLITHOTOMY, PERCUTANEOUS, OR PERCUTANEOUS NEPHROLITHOTRIPSY",Higher exposure / lower reliability,105,1031,68.6%
"NEPHROURETERECTOMY, LAPAROSCOPIC",Other review contexts,33,507,84.8%
"OPERATION, INTERVERTEBRAL DISC",Other review contexts,36,463,77.8%
ORBITOTOMY,Other review contexts,45,294,37.8%
"ORCHIECTOMY, RADICAL",Other review contexts,33,155,42.4%
ORIF ANTERIOR PELVIS,Other review contexts,33,490,81.8%
ORIF POSTERIOR PELVIS,Higher exposure / lower reliability,63,1061,79.4%
"ORIF, ANKLE",Higher exposure / lower reliability,398,4256,66.3%
"ORIF, ELBOW",Higher exposure / lower reliability,55,773,67.3%
"ORIF, FINGER",Other review contexts,40,339,52.5%
"ORIF, FRACTURE, ACETABULUM",Higher exposure / lower reliability,155,2627,75.5%
"ORIF, FRACTURE, CALCANEUS",Other review contexts,51,597,76.5%
"ORIF, FRACTURE, CLAVICLE",Other review contexts,58,449,55.2%
"ORIF, FRACTURE, FACIAL BONE",Higher exposure / lower reliability,49,1078,87.8%
"ORIF, FRACTURE, FEMUR",Higher exposure / lower reliability,546,7048,71.2%
"ORIF, FRACTURE, FOOT",Other review contexts,47,540,72.3%
"ORIF, FRACTURE, HUMERUS",Higher exposure / lower reliability,208,2781,73.6%
"ORIF, FRACTURE, MANDIBLE, WITH MAXILLOMANDIBULAR FIXATION",Higher exposure / lower reliability,60,974,68.3%
"ORIF, FRACTURE, METACARPAL BONE",Other review contexts,34,327,67.6%
"ORIF, FRACTURE, PATELLA",Other review contexts,55,309,36.4%
"ORIF, FRACTURE, RADIUS",Higher exposure / lower reliability,208,1998,62.5%
"ORIF, FRACTURE, RADIUS OR ULNA",Higher exposure / lower reliability,68,843,70.6%
"ORIF, FRACTURE, RADIUS, DISTAL",Higher exposure / lower reliability,66,628,68.2%
"ORIF, FRACTURE, TIBIA",Higher exposure / lower reliability,337,4228,69.1%
"ORIF, FRACTURE, TIBIA OR FIBULA",Higher exposure / lower reliability,83,1029,69.9%
"ORIF, FRACTURE, TIBIA, PLATEAU",Higher exposure / lower reliability,88,1173,77.3%
"ORIF, FRACTURE, ULNA, OLECRANON PROCESS",Other review contexts,61,540,59.0%
"ORIF, HAND",Other review contexts,34,553,67.6%
"ORIF, HIP",Other review contexts,68,642,55.9%
"ORIF, WRIST",Higher exposure / lower reliability,73,856,63.0%
"PANCREATECTOMY, DISTAL, SUBTOTAL, WITH SPLENECTOMY",Higher exposure / lower reliability,83,1479,77.1%
PARATHYROIDECTOMY,Other review contexts,218,1755,45.9%
"PLACEMENT OF STEREOELECTROENCEPHALOGRAPY (SEEG), WITH INTRAOPERATIVE CT",Other review contexts,40,206,30.0%
"PLACEMENT, FILTER, INFERIOR VENA CAVA",Other review contexts,59,246,22.0%
"PLACEMENT, GRAFT, ARTERIOVENOUS",Other review contexts,51,506,68.6%
"PLACEMENT, SHUNT, VENTRICULOPERITONEAL",Other review contexts,94,436,38.3%
"PROCTOCOLECTOMY, TOTAL, LAPAROSCOPIC, ROBOT-ASSISTED",Higher exposure / lower reliability,67,1010,76.1%
"PROSTATECTOMY, ROBOT-ASSISTED",Higher exposure / lower reliability,64,1286,76.6%
"RADICAL RESECTION, TONSIL/TONSILLAR PILLARS AND/OR RETROMOLAR TRIGONE",Higher exposure / lower reliability,62,819,66.1%
"RADIOFREQUENCY ABLATION, VARICOSE VEIN",Other review contexts,87,498,39.1%
"RECONSTRUCTION, BREAST, BILATERAL",Higher exposure / lower reliability,48,916,85.4%
"RECONSTRUCTION, BREAST, UNILATERAL",Other review contexts,34,452,61.8%
"RECONSTRUCTION, BREAST, WITH LATISSIMUS DORSI MYOCUTANEOUS FLAP",Higher exposure / lower reliability,102,913,63.7%
"RECONSTRUCTION, PENIS",Other review contexts,61,600,68.9%
"RECONSTRUCTION, URETHRA",Higher exposure / lower reliability,95,1383,73.7%
"RECTOPEXY, ROBOT-ASSISTED, LAPAROSCOPIC",Other review contexts,68,603,58.8%
"RELEASE, CARPAL TUNNEL",Other review contexts,81,382,28.4%
"REMOVAL, CATHETER, CENTRAL VENOUS, TUNNELED, WITH PORT",Other review contexts,46,345,19.6%
"REMOVAL, CATHETER, DIALYSIS, PERITONEAL",Other review contexts,53,374,35.8%
"REMOVAL, DEPTH ELECTRODE LEADS, INTRACRANIAL",Other review contexts,44,418,22.7%
"REMOVAL, GASTRIC BAND, LAPAROSCOPIC",Other review contexts,41,198,24.4%
"REMOVAL, HARDWARE, ANKLE",Other review contexts,49,533,65.3%
"REMOVAL, HARDWARE, HIP",Other review contexts,30,481,73.3%
"REMOVAL, HARDWARE, LOWER EXTREMITY",Higher exposure / lower reliability,133,1759,73.7%
"REMOVAL, HARDWARE, SPINE",Other review contexts,30,227,46.7%
"REMOVAL, IMPLANT",Higher exposure / lower reliability,77,1115,72.7%
"REMOVAL, IMPLANT, BREAST",Higher exposure / lower reliability,55,927,78.2%
"REMOVAL, INFERIOR VENA CAVAL FILTER",Other review contexts,64,484,42.2%
"REMOVAL, NEUROSTIMULATOR ELECTRODES, SACRAL",Other review contexts,39,231,56.4%
"REMOVAL, ORTHOPEDIC HARDWARE, UPPER EXTREMITY",Other review contexts,111,937,49.5%
"REPAIR, AAA, ENDOVASCULAR",Higher exposure / lower reliability,96,1806,84.4%
"REPAIR, AORTA, THORACIC, DESCENDING, ENDOVASCULAR",Higher exposure / lower reliability,37,635,70.3%
"REPAIR, AORTA, THORACIC, ENDOVASCULAR",Other review contexts,39,469,66.7%
"REPAIR, ASCENDING AORTA AND AORTIC ARCH",Other review contexts,33,454,84.8%
"REPAIR, FRACTURE NONUNION, BONE",Higher exposure / lower reliability,110,1552,77.3%
"REPAIR, GLOBE, RUPTURED",Higher exposure / lower reliability,143,1267,60.8%
"REPAIR, HERNIA, HIATAL, LAPAROSCOPIC",Other review contexts,382,3125,49.7%
"REPAIR, HERNIA, INCISIONAL",Higher exposure / lower reliability,73,1100,72.6%
"REPAIR, HERNIA, UMBILICAL",Other review contexts,97,662,52.6%
"REPAIR, HERNIA, VENTRAL",Higher exposure / lower reliability,54,906,75.9%
"REPAIR, HERNIA, VENTRAL, LAPAROSCOPIC",Higher exposure / lower reliability,128,1416,65.6%
"REPAIR, JOINT, HIP",Other review contexts,397,3819,55.9%
"REPAIR, LACRIMAL CANALICULUS",Other review contexts,36,220,41.7%
"REPAIR, RETINAL DETACHMENT",Higher exposure / lower reliability,182,1558,60.4%
"REPAIR, STENOSIS, NOSE, VESTIBULE",Higher exposure / lower reliability,270,2750,64.1%
"REPAIR, TENDON, HAND",Other review contexts,33,431,54.5%
"REPLACEMENT, AORTIC VALVE",Higher exposure / lower reliability,82,1123,74.4%
"REPLACEMENT, DEEP BRAIN STIMULATOR GENERATOR OR BATTERY",Other review contexts,121,425,18.2%
"REPLACEMENT, MITRAL VALVE",Other review contexts,50,607,72.0%
"REPLACEMENT, NEUROSTIMULATOR PULSE GENERATOR",Other review contexts,31,97,19.4%
"RESECTION, ABDOMINOPERINEAL, ROBOT-ASSISTED",Higher exposure / lower reliability,46,856,78.3%
"RESECTION, NEOPLASM, BLADDER, CYSTOSCOPIC, TRANSURETHRAL",Other review contexts,278,1848,48.9%
"RESECTION, RECTUM, LOW ANTERIOR",Other review contexts,32,524,71.9%
"RESECTION, RECTUM, LOW ANTERIOR, LAPAROSCOPIC",Higher exposure / lower reliability,45,643,64.4%
"RESECTION, RECTUM, LOW ANTERIOR, ROBOT-ASSISTED",Higher exposure / lower reliability,114,1518,74.6%
"RESECTION, SMALL INTESTINE, LAPAROSCOPIC",Other review contexts,44,513,72.7%
"REVISION, AMPUTATION SITE",Other review contexts,79,701,55.7%
"REVISION, GASTRIC BYPASS, LAPAROSCOPIC",Other review contexts,37,524,70.3%
"REVISION, RECONSTRUCTION, BREAST",Higher exposure / lower reliability,184,2957,86.4%
"REVISION, SHUNT, VENTRICULOPERITONEAL",Other review contexts,53,382,47.2%
RHYTIDECTOMY,Other review contexts,47,509,76.6%
"SACROCOLPOPEXY, ROBOT-ASSISTED",Higher exposure / lower reliability,100,1124,63.0%
"SALPINGECTOMY, LAPAROSCOPIC",Other review contexts,68,254,19.1%
"SALPINGO-OOPHORECTOMY, LAPAROSCOPIC",Other review contexts,77,676,48.1%
"SIGMOIDOSCOPY, FLEXIBLE",Other review contexts,35,136,20.0%
"SINUS SURGERY, ENDOSCOPIC",Other review contexts,35,509,74.3%
"SINUS SURGERY, ENDOSCOPIC, WITH IMAGING GUIDANCE",Other review contexts,35,255,51.4%
SKIN GRAFTING; NON-BURN,Other review contexts,40,216,50.0%
THORACENTESIS,Other review contexts,92,229,12.0%
THORACOTOMY,Other review contexts,35,562,74.3%
THROMBECTOMY,Higher exposure / lower reliability,58,667,70.7%
"THROMBECTOMY, AV GRAFT, UPPER EXTREMITY",Other review contexts,32,285,50.0%
"THROMBECTOMY, GRAFT",Other review contexts,35,381,68.6%
THYROIDECTOMY,Other review contexts,39,394,66.7%
"THYROIDECTOMY, TOTAL",Higher exposure / lower reliability,298,3751,74.5%
TRACHEOSTOMY,Other review contexts,220,1398,38.6%
"TRANSPLANT RECIPIENT, KIDNEY, FROM DECEASED DONOR",Other review contexts,391,2784,54.5%
"TRANSPLANT RECIPIENT, KIDNEY, FROM LIVING DONOR",Other review contexts,67,594,62.7%
"TRANSPLANT, NEPHRECTOMY, LIVING DONOR, LAPAROSCOPIC",Other review contexts,66,558,68.2%
TRANSURETHRAL RESECTION OF PROSTATE (TURP),Other review contexts,213,1325,50.2%
"TURBT, WITH BLUE LIGHT CYSTOSCOPY AND CYSVIEW",Other review contexts,368,1656,29.3%
"UNLISTED PROCEDURE, URINARY SYSTEM",Higher exposure / lower reliability,52,882,84.6%
"URETEROSCOPY, NON-STONE",Other review contexts,51,267,27.5%
"VATS, WITH THORACOTOMY IF INDICATED",Higher exposure / lower reliability,162,1995,74.1%
"VENOGRAM, WITH THROMBOLYSIS IF INDICATED",Other review contexts,48,466,60.4%
VIDEO-ASSISTED THORACOSCOPIC SURGERY (VATS),Higher exposure / lower reliability,161,1846,63.4%
VITRECTOMY,Other review contexts,47,338,42.6%
"VITRECTOMY, PARS PLANA APPROACH",Other review contexts,78,559,52.6%
"WEDGE RESECTION, LOBE, LUNG, USING VIDEO-ASSISTED THORACOSCOPIC SURGERY",Other review contexts,62,623,53.2%
WHIPPLE PROCEDURE,Higher exposure / lower reliability,67,1258,76.1%
"WHIPPLE PROCEDURE, LAPAROSCOPIC",Higher exposure / lower reliability,87,1465,80.5%
