Procedure,Cases (Procedure),% Outside ±30 Min (Procedure),Historical Benchmark (min),Review Context
"RADICAL RESECTION, TONSIL/TONSILLAR PILLARS AND/OR RETROMOLAR TRIGONE",62,66.1%,288,"Prioritize review / high exposure, unreliable"
"LAPAROSCOPY, DIAGNOSTIC, WITH EXPLORATORY LAPAROTOMY IF INDICATED",308,65.9%,155,"Prioritize review / high exposure, unreliable"
"FIXATION, RIB, USING PLATE",99,65.7%,297,"Prioritize review / high exposure, unreliable"
"LAPAROSCOPY, DIAGNOSTIC",996,65.6%,147,"Prioritize review / high exposure, unreliable"
"REPAIR, HERNIA, VENTRAL, LAPAROSCOPIC",128,65.6%,173,"Prioritize review / high exposure, unreliable"
"COLECTOMY, SIGMOID, LAPAROSCOPY-ASSISTED",171,65.5%,269,"Prioritize review / high exposure, unreliable"
"EXCISION, NEOPLASM, PITUITARY, TRANSSPHENOIDAL APPROACH",58,65.5%,307,"Review variability / low exposure, unreliable"
FISTULOGRAM,58,65.5%,126,"Review variability / low exposure, unreliable"
"IRRIGATION AND DEBRIDEMENT, HAND",182,65.4%,124,"Prioritize review / high exposure, unreliable"
"REMOVAL, HARDWARE, ANKLE",49,65.3%,127,"Review variability / low exposure, unreliable"
IR EMBO NON-CNS,155,65.2%,187,"Prioritize review / high exposure, unreliable"
"ANGIOGRAM, VESSEL, CEREBRAL, WITH EMBOLIZATION",152,65.1%,155,"Prioritize review / high exposure, unreliable"
"EXCISION, MASS, NECK",40,65.0%,138,"Review variability / low exposure, unreliable"
"EXCISION, NEOPLASM, PITUITARY, CRANIOTOMY OR TRANSSPHENOIDAL APPROACH",45,64.4%,307,"Prioritize review / high exposure, unreliable"
"RESECTION, RECTUM, LOW ANTERIOR, LAPAROSCOPIC",45,64.4%,326,"Prioritize review / high exposure, unreliable"
"LIGATION, AV FISTULA",70,64.3%,178,"Prioritize review / high exposure, unreliable"
"REPAIR, STENOSIS, NOSE, VESTIBULE",270,64.1%,373,"Prioritize review / high exposure, unreliable"
"EXCISION, PAROTID GLAND",139,64.0%,196,"Prioritize review / high exposure, unreliable"
"EXPLORATION, LOWER EXTREMITY",50,64.0%,151,"Prioritize review / high exposure, unreliable"
"HERNIORRHAPHY, ROBOT-ASSISTED, LAPAROSCOPIC, USING DA VINCI SI",36,63.9%,188,"Review variability / low exposure, unreliable"
"CLOSURE, FLAP",69,63.8%,165,"Prioritize review / high exposure, unreliable"
"RECONSTRUCTION, BREAST, WITH LATISSIMUS DORSI MYOCUTANEOUS FLAP",102,63.7%,446,"Prioritize review / high exposure, unreliable"
"CRYOABLATION, MASS, KIDNEY",33,63.6%,187,"Review variability / low exposure, unreliable"
"INSERTION, INTRAMEDULLARY NAIL, TIBIA",52,63.5%,245,"Prioritize review / high exposure, unreliable"
VIDEO-ASSISTED THORACOSCOPIC SURGERY (VATS),161,63.4%,189,"Prioritize review / high exposure, unreliable"
"CONVERSION, PREVIOUS HIP SURGERY TO TOTAL HIP REPLACEMENT",49,63.3%,311,"Review variability / low exposure, unreliable"
"ORIF, WRIST",73,63.0%,165,"Prioritize review / high exposure, unreliable"
"SACROCOLPOPEXY, ROBOT-ASSISTED",100,63.0%,384,"Prioritize review / high exposure, unreliable"
"CREATION, AV FISTULA, USING VEIN TRANSPOSITION TECHNIQUE",116,62.9%,227,"Prioritize review / high exposure, unreliable"
"DECOMPRESSION, SPINE, LUMBAR, POSTERIOR APPROACH, WITH POSTERIOR COLUMN FUSION",35,62.9%,345,"Review variability / low exposure, unreliable"
"EXCISION, LESION",35,62.9%,137,"Review variability / low exposure, unreliable"
"EXCISION, LESION, SKIN",89,62.9%,139,"Prioritize review / high exposure, unreliable"
"CYSTOSCOPY, + URETEROSCOPY, RETROGRADE PYELOGRAM, HOLMIUM LASER LITHOTRIPSY, + PERCUTANEOUS NEPHROLITHOTOMY",341,62.8%,204,"Prioritize review / high exposure, unreliable"
"MASTOPEXY, BILATERAL",51,62.7%,361,"Review variability / low exposure, unreliable"
"TRANSPLANT RECIPIENT, KIDNEY, FROM LIVING DONOR",67,62.7%,307,"Review variability / low exposure, unreliable"
MYOMECTOMY,32,62.5%,134,"Review variability / low exposure, unreliable"
"NEPHRECTOMY, PARTIAL, LAPAROSCOPIC",40,62.5%,222,"Review variability / low exposure, unreliable"
"ORIF, FRACTURE, RADIUS",208,62.5%,182,"Prioritize review / high exposure, unreliable"
"RECONSTRUCTION, BREAST, UNILATERAL",34,61.8%,349,"Review variability / low exposure, unreliable"
BRONCHOSCOPY,88,61.4%,105,"Prioritize review / high exposure, unreliable"
"COLECTOMY, LEFT, LAPAROSCOPY-ASSISTED",57,61.4%,259,"Review variability / low exposure, unreliable"
"HYSTERECTOMY, VAGINAL, ROBOT-ASSISTED, LAPAROSCOPY-ASSISTED",57,61.4%,236,"Review variability / low exposure, unreliable"
"DISCECTOMY, CERVICAL, ANTERIOR, NEURO",31,61.3%,231,"Review variability / low exposure, unreliable"
"HYSTERECTOMY, TOTAL, VAGINAL",62,61.3%,260,"Review variability / low exposure, unreliable"
IR EMBO TARE,31,61.3%,165,"Review variability / low exposure, unreliable"
IR INSERT BILIARY TUBE,31,61.3%,142,"Review variability / low exposure, unreliable"
"LARYNGOSCOPY, DIRECT",31,61.3%,129,"Review variability / low exposure, unreliable"
"EXCISION, SCAR",36,61.1%,144,"Review variability / low exposure, unreliable"
"EXCISION, PITUITARY, TRANSSPHENOIDAL APPROACH",105,61.0%,294,"Prioritize review / high exposure, unreliable"
"REPAIR, GLOBE, RUPTURED",143,60.8%,141,"Prioritize review / high exposure, unreliable"
"REPAIR, RETINAL DETACHMENT",182,60.4%,169,"Prioritize review / high exposure, unreliable"
"VENOGRAM, WITH THROMBOLYSIS IF INDICATED",48,60.4%,151,"Review variability / low exposure, unreliable"
"HEMICOLECTOMY, RIGHT, LAPAROSCOPIC",60,60.0%,234,"Review variability / low exposure, unreliable"
"IRRIGATION AND DEBRIDEMENT, KNEE",82,59.8%,126,"Prioritize review / high exposure, unreliable"
"AMPUTATION, BELOW KNEE",231,59.7%,151,"Prioritize review / high exposure, unreliable"
IR EMBO TACE CHEMO,96,59.4%,227,"Prioritize review / high exposure, unreliable"
"ORIF, FRACTURE, ULNA, OLECRANON PROCESS",61,59.0%,213,"Review variability / low exposure, unreliable"
"CYSTOSCOPY, WITH RETROGRADE PYELOGRAM, URETEROSCOPY, URINARY CALCULUS LASER LITHOTRIPSY, + STENT INSERT",524,58.8%,117,"Prioritize review / high exposure, unreliable"
"DECOMPRESSION, SPINE, LUMBAR",238,58.8%,200,"Prioritize review / high exposure, unreliable"
"EXCISION, CYST, OVARY, LAPAROSCOPIC",80,58.8%,155,"Prioritize review / high exposure, unreliable"
"RECTOPEXY, ROBOT-ASSISTED, LAPAROSCOPIC",68,58.8%,263,"Review variability / low exposure, unreliable"
"IMPLANTATION, DEEP BRAIN STIMULATOR, LEAD ONLY",65,58.5%,404,"Review variability / low exposure, unreliable"
"CREATION, AV FISTULA",434,58.3%,174,"Review exposure / high exposure, reliable"
"CREATION, GASTRIC BYPASS, LAPAROSCOPIC, WITH ROUX-EN-Y GASTROENTEROSTOMY",50,58.0%,220,"Monitor / low exposure, reliable"
"ALLOGRAFT, SKIN",202,57.9%,134,"Review exposure / high exposure, reliable"
CYSTECTOMY,38,57.9%,502,"Monitor / low exposure, reliable"
"EXPLORATION, PENIS",38,57.9%,151,"Monitor / low exposure, reliable"
IR ANGIO ABDOMINAL,66,57.6%,158,"Monitor / low exposure, reliable"
"ILEOCOLECTOMY, LAPAROSCOPIC ASSISTED",68,57.4%,214,"Monitor / low exposure, reliable"
"CRANIECTOMY OR CRANIOTOMY, EMERGENT",181,56.9%,169,"Review exposure / high exposure, reliable"
CRANIOPLASTY,65,56.9%,196,"Review exposure / high exposure, reliable"
COLECTOMY,37,56.8%,258,"Monitor / low exposure, reliable"
CRANIECTOMY,374,56.7%,282,"Review exposure / high exposure, reliable"
"LAMINECTOMY, LUMBAR",108,56.5%,203,"Review exposure / high exposure, reliable"
"CLOSURE, ILEOSTOMY",179,56.4%,171,"Review exposure / high exposure, reliable"
"REMOVAL, NEUROSTIMULATOR ELECTRODES, SACRAL",39,56.4%,105,"Monitor / low exposure, reliable"
"CRANIOTOMY OR BURR HOLE, WITH SUBDURAL HEMATOMA EVACUATION",144,56.3%,162,"Review exposure / high exposure, reliable"
"BIOPSY, BONE",89,56.2%,111,"Review exposure / high exposure, reliable"
"ORIF, HIP",68,55.9%,157,"Review exposure / high exposure, reliable"
"REPAIR, JOINT, HIP",397,55.9%,216,"Review exposure / high exposure, reliable"
"CRANIOTOMY, FOR HEMATOMA EVACUATION",88,55.7%,182,"Review exposure / high exposure, reliable"
"HYSTERECTOMY, TOTAL, ABDOMINAL, ROBOT-ASSISTED, LAPAROSCOPIC, WITH BSO",497,55.7%,244,"Review exposure / high exposure, reliable"
"REVISION, AMPUTATION SITE",79,55.7%,116,"Review exposure / high exposure, reliable"
CYSTOLITHOLAPAXY,63,55.6%,106,"Monitor / low exposure, reliable"
"ARTHROPLASTY, SHOULDER",83,55.4%,258,"Review exposure / high exposure, reliable"
"FUNDOPLICATION, LAPAROSCOPIC, NISSEN, FOR HIATAL HERNIA",47,55.3%,171,"Monitor / low exposure, reliable"
"CHOLECYSTECTOMY, LAPAROSCOPIC",1108,55.2%,154,"Review exposure / high exposure, reliable"
"ORIF, FRACTURE, CLAVICLE",58,55.2%,176,"Monitor / low exposure, reliable"
"IRRIGATION AND DEBRIDEMENT, EXTREMITY",403,55.1%,120,"Review exposure / high exposure, reliable"
"HYSTERECTOMY, VAGINAL, WITH SALPINGO-OOPHORECTOMY",82,54.9%,290,"Review exposure / high exposure, reliable"
"EMBOLECTOMY, ARTERY",44,54.5%,132,"Monitor / low exposure, reliable"
"REPAIR, TENDON, HAND",33,54.5%,167,"Monitor / low exposure, reliable"
"TRANSPLANT RECIPIENT, KIDNEY, FROM DECEASED DONOR",391,54.5%,297,"Review exposure / high exposure, reliable"
